Training started at 2024-12-01 22:15:56.737644
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.649577,0.388607,0.754491,0.638514,0.694746,0.118742
1,0.586451,0.288961,0.840237,0.719595,0.776268,0.125960
2,0.504695,0.238681,0.866279,0.755068,0.806159,0.071778
3,0.396605,0.226315,0.855046,0.787162,0.814312,0.063110
4,0.306639,0.219820,0.857923,0.795608,0.819746,0.063613
5,0.247346,0.217252,0.853047,0.804054,0.820652,0.060447
6,0.229929,0.212107,0.851590,0.814189,0.824275,0.052978
7,0.226735,0.203264,0.838333,0.849662,0.831522,0.049933
8,0.230013,0.206086,0.807927,0.895270,0.829710,0.045939
9,0.226326,0.209004,0.805175,0.893581,0.826993,0.042751
10,0.231554,0.207202,0.865455,0.804054,0.827899,0.045398
11,0.228433,0.186503,0.871252,0.834459,0.845109,0.042934
12,0.220327,0.193613,0.837134,0.868243,0.838768,0.038318
13,0.218406,0.198904,0.856894,0.829392,0.834239,0.037026
14,0.220700,0.195751,0.869176,0.819257,0.836957,0.038306
15,0.209432,0.207390,0.876173,0.788851,0.826993,0.035987
16,0.212540,0.199861,0.855401,0.829392,0.833333,0.035257
17,0.212610,0.196724,0.813740,0.900338,0.836051,0.037644
18,0.207101,0.190222,0.849246,0.856419,0.841486,0.036151
19,0.210838,0.193460,0.821429,0.893581,0.838768,0.036127
20,0.211711,0.194541,0.856649,0.837838,0.837862,0.036668
21,0.207443,0.191301,0.850168,0.853041,0.840580,0.036083
22,0.207010,0.190080,0.861352,0.839527,0.841486,0.033815
23,0.202007,0.191283,0.843234,0.863176,0.840580,0.036146
24,0.208558,0.193311,0.823438,0.890203,0.838768,0.034950
25,0.207032,0.194418,0.852991,0.842905,0.837862,0.034938
26,0.203809,0.197558,0.837171,0.859797,0.835145,0.033352
27,0.200302,0.189226,0.867958,0.832770,0.842391,0.036108
28,0.202578,0.192308,0.863398,0.832770,0.839674,0.035670
29,0.204720,0.190184,0.870337,0.827703,0.841486,0.035424
30,0.203395,0.198751,0.878004,0.802365,0.834239,0.035128
31,0.203056,0.191295,0.885185,0.807432,0.840580,0.035667
32,0.202872,0.203121,0.887189,0.783784,0.830616,0.035115
33,0.202319,0.197808,0.889734,0.790541,0.835145,0.036083
