Ticker,Average_L1,Std_L1,Precision,Recall,Accuracy,F1_Score,Valid_Samples,Status
A,0.015402957378834957,0.015137669779080857,0.46,1.0,0.46,0.6301369863013699,50,Complete
AA,0.028660441741465998,0.02167241627471975,0.58,1.0,0.58,0.7341772151898733,50,Complete
AAP,0.0199605641394202,0.015888693946306334,0.48,1.0,0.48,0.6486486486486487,50,Complete
AAPL,0.012709792932943198,0.010546220566766311,0.52,1.0,0.52,0.6842105263157895,50,Complete
AB,0.015499445033330483,0.014800714238224733,0.46,1.0,0.46,0.6301369863013699,50,Complete
ABR,0.019188759170583523,0.015195485287841903,0.56,1.0,0.56,0.717948717948718,50,Complete
ABT,0.010876964049237743,0.00738303341265207,0.46,1.0,0.46,0.6301369863013699,50,Complete
AC,0.0,0.0,0.0,0.0,0.0,0.0,0,Failed
ACHR,0.04033455400209954,0.03569736720468353,0.46,1.0,0.46,0.6301369863013699,50,Complete
ADBE,0.017870001728588714,0.012552115885772422,0.56,1.0,0.56,0.717948717948718,50,Complete
ADM,0.016191947954542544,0.02053123318114881,0.54,1.0,0.54,0.7012987012987013,50,Complete
AG,0.031408534893150056,0.025274587479531416,0.48,1.0,0.48,0.6486486486486487,50,Complete
AGR,0.011104912535127935,0.011175667960448143,0.62,1.0,0.62,0.7654320987654321,50,Complete
