Ticker,Average_L1,Std_L1,Precision,Recall,Accuracy,F1_Score,Valid_Samples,Status
DIS,0.011042819168563412,0.010146076062790752,0.5,1.0,0.5,0.6666666666666666,50,Complete
DM,0.03996294508595533,0.0307037616620456,0.54,1.0,0.54,0.7012987012987013,50,Complete
DO,0.029483166540325043,0.026809495139223913,0.54,1.0,0.54,0.7012987012987013,50,Complete
DOC,0.014105772863354168,0.013004368278646167,0.46,1.0,0.46,0.6301369863013699,50,Complete
DT,0.020946872605805137,0.023512321275636815,0.54,1.0,0.54,0.7012987012987013,50,Complete
DV,0.02195489183327519,0.02121907189921789,0.54,1.0,0.54,0.7012987012987013,50,Complete
DVN,0.014887374368890602,0.014863366223337861,0.54,1.0,0.54,0.7012987012987013,50,Complete
DX,0.01634931896680897,0.013232826364506102,0.64,1.0,0.64,0.7804878048780487,50,Complete
DXYZ,0.08934910892659571,0.1379840512755743,0.46,1.0,0.46,0.6301369863013699,50,Complete
E,0.013513351629554329,0.012043546510780873,0.6,1.0,0.6,0.7499999999999999,50,Complete
EC,0.01851077566515793,0.018002325948672047,0.5,1.0,0.5,0.6666666666666666,50,Complete
ED,0.008152551199828221,0.0070727494423965505,0.64,1.0,0.64,0.7804878048780487,50,Complete
EE,0.023380796074866157,0.017643398287568404,0.54,1.0,0.54,0.7012987012987013,50,Complete
EG,0.01187679979403767,0.013537663285082824,0.6,1.0,0.6,0.7499999999999999,50,Complete
EGY,0.02634313941161852,0.025981742362012127,0.52,1.0,0.52,0.6842105263157895,50,Complete
EL,0.01935248578819254,0.015269917078399897,0.46,1.0,0.46,0.6301369863013699,50,Complete
EM,0.05995744645948665,0.050238027386753065,0.5,1.0,0.5,0.6666666666666666,50,Complete
