Training started at 2024-12-27 20:10:23.071018
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.947999,0.438173,0.206897,0.115385,0.823980,0.406420
1,0.763822,0.294575,0.290909,0.307692,0.808673,0.225536
2,0.682992,0.375882,0.250000,0.500000,0.734694,0.163032
3,0.666350,0.361779,0.250000,0.615385,0.704082,0.148603
4,0.646136,0.347122,0.247863,0.557692,0.716837,0.139216
5,0.639215,0.426230,0.195946,0.557692,0.637755,0.123130
6,0.641076,0.327484,0.245902,0.576923,0.709184,0.115153
7,0.639879,0.432692,0.204380,0.538462,0.660714,0.110842
8,0.627000,0.461696,0.207792,0.615385,0.637755,0.121050
9,0.628772,0.438151,0.206452,0.615385,0.635204,0.103037
10,0.623689,0.482802,0.173611,0.480769,0.627551,0.098322
11,0.610139,0.371287,0.218487,0.500000,0.696429,0.098956
12,0.606234,0.285234,0.341176,0.557692,0.798469,0.109796
13,0.594352,0.362940,0.231343,0.596154,0.683673,0.092078
14,0.596416,0.347857,0.240310,0.596154,0.696429,0.082909
15,0.577424,0.269838,0.343750,0.634615,0.790816,0.091968
16,0.566045,0.265898,0.347826,0.615385,0.795918,0.095639
17,0.567463,0.226205,0.376471,0.615385,0.813776,0.088095
18,0.558097,0.195596,0.426471,0.557692,0.841837,0.086250
19,0.555334,0.174191,0.472727,0.500000,0.859694,0.066691
20,0.532864,0.169875,0.482759,0.538462,0.862245,0.065060
21,0.533002,0.169232,0.549020,0.538462,0.880102,0.059400
22,0.517537,0.191012,0.473684,0.519231,0.859694,0.061682
23,0.504588,0.159835,0.509091,0.538462,0.869898,0.053082
24,0.502061,0.159074,0.508772,0.557692,0.869898,0.046830
25,0.485935,0.161667,0.568627,0.557692,0.885204,0.047271
26,0.477980,0.166712,0.547170,0.557692,0.880102,0.044054
27,0.470470,0.147998,0.625000,0.576923,0.897959,0.044804
28,0.451362,0.142294,0.566038,0.576923,0.885204,0.042332
29,0.439284,0.131457,0.607843,0.596154,0.895408,0.041222
30,0.426998,0.147291,0.630435,0.557692,0.897959,0.040202
31,0.411295,0.144233,0.638298,0.576923,0.900510,0.036452
32,0.394980,0.149658,0.612245,0.576923,0.895408,0.036702
33,0.381776,0.138931,0.666667,0.576923,0.905612,0.037110
34,0.357798,0.144061,0.644444,0.557692,0.900510,0.034979
35,0.357140,0.138659,0.666667,0.576923,0.905612,0.034315
36,0.332343,0.146738,0.642857,0.519231,0.897959,0.034675
37,0.316633,0.146670,0.642857,0.519231,0.897959,0.034147
38,0.307526,0.143960,0.651163,0.538462,0.900510,0.033545
39,0.285289,0.143989,0.651163,0.538462,0.900510,0.034132
40,0.271595,0.143891,0.651163,0.538462,0.900510,0.032821
41,0.261140,0.141269,0.659091,0.557692,0.903061,0.033697
42,0.261271,0.141210,0.666667,0.538462,0.903061,0.033303
43,0.251819,0.141223,0.666667,0.538462,0.903061,0.033420
44,0.248452,0.141187,0.666667,0.538462,0.903061,0.033051
45,0.245299,0.138517,0.682927,0.538462,0.905612,0.033177
46,0.236899,0.138530,0.682927,0.538462,0.905612,0.033449
47,0.237945,0.133170,0.697674,0.576923,0.910714,0.033208
48,0.235080,0.135822,0.690476,0.557692,0.908163,0.032678
49,0.227531,0.135810,0.690476,0.557692,0.908163,0.032714
50,0.225190,0.133137,0.697674,0.576923,0.910714,0.032867
51,0.220893,0.138511,0.682927,0.538462,0.905612,0.032927
52,0.220652,0.138482,0.682927,0.538462,0.905612,0.032551
53,0.216602,0.138487,0.682927,0.538462,0.905612,0.032669
54,0.219460,0.141173,0.675000,0.519231,0.903061,0.032708
55,0.221115,0.133126,0.697674,0.576923,0.910714,0.032463
56,0.216738,0.133125,0.697674,0.576923,0.910714,0.032381
57,0.221054,0.133156,0.697674,0.576923,0.910714,0.032674
58,0.217543,0.138496,0.682927,0.538462,0.905612,0.032398
59,0.210000,0.138494,0.682927,0.538462,0.905612,0.032399
60,0.214932,0.133147,0.707317,0.557692,0.910714,0.032428
61,0.211068,0.135801,0.700000,0.538462,0.908163,0.032062
62,0.209199,0.135827,0.700000,0.538462,0.908163,0.032346
63,0.212835,0.133132,0.717949,0.538462,0.910714,0.032039
64,0.209763,0.133141,0.717949,0.538462,0.910714,0.032141
65,0.215734,0.133150,0.717949,0.538462,0.910714,0.032202
66,0.209388,0.133136,0.717949,0.538462,0.910714,0.032052
67,0.207915,0.133133,0.717949,0.538462,0.910714,0.031978
68,0.212038,0.127811,0.731707,0.576923,0.915816,0.032439
69,0.210246,0.130450,0.725000,0.557692,0.913265,0.031836
70,0.213063,0.130423,0.725000,0.557692,0.913265,0.031556
71,0.212532,0.133141,0.717949,0.538462,0.910714,0.031990
72,0.209225,0.133137,0.717949,0.538462,0.910714,0.031902
73,0.210897,0.133131,0.717949,0.538462,0.910714,0.031715
74,0.213243,0.130431,0.714286,0.576923,0.913265,0.031574
75,0.209564,0.130437,0.714286,0.576923,0.913265,0.031617
76,0.212010,0.127771,0.743590,0.557692,0.915816,0.031638
77,0.216209,0.127735,0.743590,0.557692,0.915816,0.031248
78,0.210854,0.127744,0.743590,0.557692,0.915816,0.031378
79,0.208820,0.130419,0.736842,0.538462,0.913265,0.031331
80,0.210744,0.127749,0.743590,0.557692,0.915816,0.031396
81,0.209555,0.122369,0.756098,0.596154,0.920918,0.031084
82,0.207494,0.122370,0.756098,0.596154,0.920918,0.031009
83,0.210675,0.127738,0.743590,0.557692,0.915816,0.031198
84,0.213107,0.122382,0.756098,0.596154,0.920918,0.031155
85,0.203600,0.122382,0.756098,0.596154,0.920918,0.031207
86,0.209193,0.127713,0.720930,0.596154,0.915816,0.030728
87,0.206848,0.127732,0.743590,0.557692,0.915816,0.030989
88,0.205274,0.133102,0.707317,0.557692,0.910714,0.031155
89,0.212077,0.127716,0.720930,0.596154,0.915816,0.030747
90,0.209014,0.133089,0.707317,0.557692,0.910714,0.030914
91,0.209636,0.130405,0.714286,0.576923,0.913265,0.030829
92,0.206978,0.135779,0.700000,0.538462,0.908163,0.031024
93,0.205086,0.135777,0.700000,0.538462,0.908163,0.031035
94,0.205185,0.130397,0.714286,0.576923,0.913265,0.030660
95,0.207814,0.135747,0.700000,0.538462,0.908163,0.030561
96,0.211943,0.135760,0.700000,0.538462,0.908163,0.030792
97,0.210778,0.135774,0.700000,0.538462,0.908163,0.030933
98,0.211290,0.135745,0.700000,0.538462,0.908163,0.030534
99,0.204604,0.133063,0.707317,0.557692,0.910714,0.030484
