Training started at 2024-12-27 19:59:53.533721
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,2.190194,1.358429,0.194915,0.442308,0.683673,0.202910
1,2.026219,1.585430,0.159236,0.480769,0.594388,0.163898
2,2.011147,1.448272,0.183673,0.519231,0.630102,0.141154
3,1.991388,1.141336,0.259259,0.538462,0.734694,0.134907
4,1.989936,1.419836,0.227545,0.730769,0.635204,0.110068
5,1.969292,1.342283,0.246269,0.634615,0.693878,0.112368
6,1.961128,1.771926,0.132075,0.403846,0.568878,0.094400
7,1.936434,0.843914,0.287500,0.442308,0.780612,0.093993
8,1.928429,1.152070,0.228070,0.500000,0.709184,0.077477
9,1.850089,1.491772,0.192857,0.519231,0.647959,0.083479
10,1.853499,1.240255,0.250000,0.557692,0.719388,0.074343
11,1.835424,1.113655,0.278261,0.615385,0.737245,0.062937
12,1.828532,0.986692,0.305263,0.557692,0.772959,0.055168
13,1.792824,0.790698,0.355263,0.519231,0.811224,0.058532
14,1.728868,0.709181,0.405797,0.538462,0.834184,0.050375
15,1.701855,0.682014,0.413793,0.461538,0.841837,0.045900
16,1.597007,0.583401,0.444444,0.461538,0.852041,0.042405
17,1.596894,0.520770,0.509434,0.519231,0.869898,0.041546
18,1.526523,0.458010,0.574074,0.596154,0.887755,0.038918
19,1.418069,0.511359,0.516667,0.596154,0.872449,0.036888
20,1.350287,0.537963,0.553571,0.596154,0.882653,0.035401
21,1.326641,0.502097,0.604167,0.557692,0.892857,0.033953
22,1.235632,0.502090,0.592593,0.615385,0.892857,0.034012
23,1.161675,0.520112,0.574074,0.596154,0.887755,0.036820
24,1.070898,0.528859,0.563636,0.596154,0.885204,0.034555
25,1.000911,0.519875,0.574074,0.596154,0.887755,0.033723
26,0.950912,0.493172,0.607843,0.596154,0.895408,0.034943
27,0.871892,0.484210,0.620000,0.596154,0.897959,0.034444
28,0.843477,0.475214,0.632653,0.596154,0.900510,0.033563
29,0.789409,0.475352,0.632653,0.596154,0.900510,0.035546
30,0.772391,0.430642,0.704545,0.596154,0.913265,0.034787
31,0.750411,0.430613,0.704545,0.596154,0.913265,0.034357
32,0.744215,0.439506,0.697674,0.576923,0.910714,0.033809
33,0.736829,0.439521,0.697674,0.576923,0.910714,0.034033
34,0.738477,0.439548,0.697674,0.576923,0.910714,0.034454
35,0.709062,0.439554,0.697674,0.576923,0.910714,0.034447
36,0.730934,0.439547,0.697674,0.576923,0.910714,0.034420
37,0.704266,0.448449,0.690476,0.557692,0.908163,0.034250
38,0.707517,0.439528,0.707317,0.557692,0.910714,0.034356
39,0.708543,0.439519,0.707317,0.557692,0.910714,0.034260
40,0.689670,0.457464,0.674419,0.557692,0.905612,0.035214
41,0.697798,0.475222,0.658537,0.519231,0.900510,0.033980
42,0.701365,0.466360,0.666667,0.538462,0.903061,0.034709
43,0.696872,0.484226,0.657895,0.480769,0.897959,0.034742
44,0.704304,0.475301,0.675676,0.480769,0.900510,0.034729
45,0.677491,0.475262,0.675676,0.480769,0.900510,0.034229
