Epoch 1, Train Loss: 28.562425, Val Loss: 31.523963
Epoch 2, Train Loss: 27.870573, Val Loss: 29.214357
Epoch 3, Train Loss: 17.842625, Val Loss: 15.440778
Epoch 4, Train Loss: 14.109117, Val Loss: 19.294370
Epoch 5, Train Loss: 14.549596, Val Loss: 15.437504
Epoch 6, Train Loss: 18.672204, Val Loss: 15.438008
Epoch 7, Train Loss: 18.749577, Val Loss: 15.437617
Epoch 8, Train Loss: 14.406278, Val Loss: 15.445030
Epoch 9, Train Loss: 14.048208, Val Loss: 15.441058
Epoch 10, Train Loss: 14.047564, Val Loss: 15.440742
Epoch 11, Train Loss: 14.058949, Val Loss: 15.441112
Epoch 12, Train Loss: 14.048044, Val Loss: 15.435672
Epoch 13, Train Loss: 14.102953, Val Loss: 15.438077
Epoch 14, Train Loss: 14.048255, Val Loss: 15.439535
Epoch 15, Train Loss: 14.047950, Val Loss: 15.437479
