Training started at 2024-12-03 19:19:55.560022 - direction_weight': 0.3
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.659417,0.460033,0.652855,0.681570,0.632024,0.101802
1,0.569436,0.291202,0.790967,0.770265,0.765815,0.064376
2,0.449656,0.219681,0.850724,0.812068,0.821415,0.064184
3,0.320552,0.204720,0.865643,0.819702,0.833792,0.063908
4,0.242293,0.195729,0.866415,0.834606,0.841061,0.059873
5,0.224662,0.190802,0.869811,0.837877,0.844597,0.053057
6,0.224747,0.192118,0.879767,0.821883,0.843026,0.047133
7,0.224275,0.183179,0.862345,0.860778,0.850491,0.044130
8,0.218010,0.182313,0.857604,0.869138,0.851277,0.045520
9,0.212999,0.180697,0.863587,0.862959,0.852259,0.039860
10,0.207917,0.184105,0.886337,0.827699,0.849509,0.041968
11,0.207249,0.175749,0.870506,0.862595,0.856385,0.039949
12,0.206697,0.178610,0.877682,0.847692,0.853831,0.037431
13,0.203575,0.186585,0.889459,0.818975,0.847151,0.036253
14,0.203278,0.189626,0.904585,0.796074,0.844401,0.037245
15,0.202807,0.177268,0.877957,0.849873,0.855010,0.038445
16,0.203107,0.179074,0.849669,0.885496,0.853438,0.037106
17,0.199816,0.179149,0.859964,0.870593,0.853438,0.038838
18,0.198029,0.179643,0.866667,0.860051,0.852849,0.035532
19,0.199961,0.179049,0.875891,0.849146,0.853438,0.037615
20,0.197446,0.179354,0.876080,0.848055,0.853045,0.035651
21,0.198611,0.179279,0.875844,0.848782,0.853242,0.037746
22,0.198736,0.176608,0.870541,0.860414,0.855403,0.035881
23,0.197347,0.176561,0.862280,0.871683,0.855403,0.036171
24,0.195383,0.176459,0.872183,0.858233,0.855403,0.034265
25,0.198920,0.179092,0.865961,0.861868,0.853242,0.035495
26,0.196990,0.177792,0.857651,0.876045,0.854420,0.037064
27,0.194696,0.178971,0.863620,0.865503,0.853438,0.036171
28,0.197870,0.176959,0.866182,0.865867,0.855206,0.038073
29,0.195803,0.178121,0.859084,0.873137,0.854028,0.035336
30,0.197087,0.174795,0.877521,0.854235,0.856778,0.034615
31,0.193775,0.174315,0.872333,0.861868,0.857171,0.035138
32,0.197123,0.175336,0.873245,0.858960,0.856385,0.036026
33,0.197732,0.178726,0.884837,0.837877,0.853438,0.035513
34,0.193921,0.176587,0.866448,0.865503,0.855206,0.034427
35,0.196072,0.175254,0.860814,0.876772,0.856778,0.034994
36,0.196504,0.177265,0.869135,0.861868,0.855206,0.036699
37,0.197100,0.176997,0.873978,0.854598,0.854813,0.034430
38,0.198306,0.179217,0.882983,0.839331,0.853045,0.035218
39,0.195203,0.181480,0.892126,0.823700,0.850884,0.034933
40,0.196032,0.177083,0.887178,0.837514,0.854617,0.034618
41,0.198501,0.176371,0.869279,0.862959,0.855796,0.038313
