Training started at 2024-12-02 17:59:17.764475
Epoch,Train_Loss,Val_Loss,Precision,Recall,Accuracy,L1_Distance
0,0.696111,0.559387,0.619122,0.565093,0.573655,0.154255
1,0.653650,0.519909,0.648936,0.523605,0.586126,0.126957
2,0.633077,0.506875,0.626687,0.597997,0.586906,0.117064
3,0.615444,0.514380,0.667297,0.505007,0.593141,0.111537
4,0.598845,0.353707,0.777778,0.660944,0.712393,0.099725
5,0.585210,0.415633,0.727592,0.592275,0.657054,0.089044
6,0.567307,0.319893,0.808874,0.678112,0.737334,0.084996
7,0.547252,0.267987,0.833333,0.751073,0.782541,0.095710
8,0.525613,0.302157,0.812914,0.702432,0.749805,0.078049
9,0.508435,0.232484,0.822443,0.828326,0.809041,0.079551
10,0.485600,0.250949,0.821429,0.789700,0.791894,0.064394
11,0.450586,0.227172,0.842415,0.818312,0.817615,0.055559
12,0.420290,0.212428,0.845029,0.826896,0.823071,0.060842
13,0.389068,0.214035,0.859112,0.802575,0.820733,0.054827
14,0.354484,0.210442,0.850370,0.821173,0.823850,0.055851
15,0.327511,0.210449,0.856712,0.812589,0.823850,0.056558
16,0.296684,0.214745,0.857798,0.802575,0.819953,0.053454
17,0.276336,0.206113,0.859940,0.816881,0.827747,0.057615
18,0.260404,0.197288,0.851371,0.844063,0.834762,0.052773
19,0.245846,0.199165,0.857143,0.832618,0.833203,0.052628
20,0.240033,0.198646,0.862481,0.825465,0.833203,0.048313
21,0.235007,0.197545,0.853198,0.839771,0.833983,0.046161
22,0.231564,0.191806,0.870482,0.826896,0.838659,0.043720
23,0.224858,0.184748,0.848189,0.871245,0.844895,0.045783
24,0.225211,0.200225,0.877934,0.802575,0.831645,0.045349
25,0.219680,0.193585,0.895161,0.793991,0.837101,0.042961
26,0.218377,0.195318,0.891026,0.795422,0.835542,0.042244
27,0.210925,0.194361,0.885039,0.804006,0.836321,0.041717
28,0.213025,0.198875,0.896721,0.782546,0.832424,0.040921
29,0.211945,0.193356,0.882812,0.808298,0.837101,0.040340
30,0.210441,0.196240,0.885895,0.799714,0.834762,0.041748
31,0.206137,0.192411,0.881804,0.811159,0.837880,0.039910
32,0.205864,0.192358,0.894061,0.796853,0.837880,0.039528
33,0.208854,0.203181,0.879556,0.793991,0.828527,0.037926
34,0.207398,0.197853,0.894309,0.786838,0.833203,0.039981
35,0.207864,0.187703,0.887500,0.812589,0.841777,0.038496
36,0.202909,0.193194,0.882812,0.808298,0.837101,0.038797
37,0.204817,0.187711,0.872372,0.831187,0.841777,0.038745
38,0.204503,0.188617,0.883721,0.815451,0.840998,0.038825
39,0.202573,0.189649,0.871988,0.828326,0.840218,0.039770
40,0.205949,0.189558,0.885938,0.811159,0.840218,0.038786
41,0.205848,0.191306,0.870482,0.826896,0.838659,0.037969
42,0.202891,0.188599,0.882535,0.816881,0.840998,0.038537
43,0.204927,0.191350,0.873860,0.822604,0.838659,0.038660
44,0.202444,0.187753,0.879205,0.822604,0.841777,0.039235
45,0.203414,0.192181,0.896607,0.793991,0.837880,0.037879
46,0.207248,0.186794,0.869242,0.836910,0.842557,0.038622
47,0.206303,0.185817,0.871642,0.835479,0.843336,0.038067
48,0.200962,0.182183,0.868035,0.846924,0.846454,0.038374
49,0.202393,0.185018,0.862119,0.849785,0.844115,0.039179
50,0.202052,0.185880,0.864035,0.845494,0.843336,0.038667
51,0.201855,0.189598,0.875380,0.824034,0.840218,0.039192
52,0.202687,0.184901,0.864234,0.846924,0.844115,0.038004
53,0.205796,0.191319,0.876147,0.819742,0.838659,0.038335
54,0.202496,0.190393,0.874052,0.824034,0.839439,0.037998
55,0.204460,0.187683,0.876900,0.825465,0.841777,0.038451
56,0.205132,0.187605,0.880368,0.821173,0.841777,0.037620
57,0.202845,0.189405,0.867560,0.834049,0.840218,0.037309
58,0.204723,0.183967,0.866569,0.845494,0.844895,0.037750
59,0.200368,0.184942,0.866373,0.844063,0.844115,0.038247
