title,date,source,content,link
The most personal technology - The Economist,2023-07-22 07:00:00,The Economist,The most personal technologynbspnbspThe Economist,https://news.google.com/rss/articles/CBMiaEFVX3lxTE92NXdZTHBEbTNfSlNjVTNuNEFBNzkxOWJORHFTdUZLdmZuUXJ0QVRXblZ4RGVSazlZaVZ5NkhIRkd5MG9TTUgzZnkyMU1MNFc2SGo4N29ZUUtnbXhFdUdTWmI3dDZCQnF3?oc=5
"As Technology Rises, Does Our Happiness Fall? - The Glass Magazine",2023-07-28 07:00:00,The Glass Magazine,"As Technology Rises, Does Our Happiness FallnbspnbspThe Glass Magazine",https://news.google.com/rss/articles/CBMihwFBVV95cUxPN0czZnNFaWNFNWFzWFlPUThtSkhycTd6R09LUzYzUDFzaE1vN0tSXzZFNHVfVk42YXEzQzQ1dm9JdVllRlhUMGhLVlJBbGtvdEI0SmVqMl9fRXJvYVhKb1k5NUpZRVNtMEVXbGwtVWkzTjBnRU15WmpnS0M2OWx5V0M0TmlzcjQ?oc=5
How to build a technology road map in established organizations - MIT Sloan News,2023-07-25 07:00:00,MIT Sloan News,How to build a technology road map in established organizationsnbspnbspMIT Sloan News,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNc190TGlIR0d0UkdSVkZnWE5LN0RPLW5fdXh3cFBYVFBwVXc4SUxFM3FkdjdQamdGeEx1azF2M1hmeUJXaklBdFhmR3lYQVZJZkVsazRvS0ZzYzJiNW9SbUdOSjZrSWtmN0JOTTdFTURBa2E5Wl9KdVpLcUZ3ck42MW02eWNtTzRVa3F1c2pvZkI1LVcyVHpzUDNPRUgwOTl6U1ZIZWtCNWFtdw?oc=5
Entering the Public Interest Technology Field with My File NYC - New America,2023-07-25 07:00:00,New America,Entering the Public Interest Technology Field with My File NYCnbspnbspNew America,https://news.google.com/rss/articles/CBMixgFBVV95cUxPcHVVc1dzazdDRXZzeWtpdHYxTndlcUNXcERXNUZGZ1BhVklRenBwckZ6THhOWi05SDlfTmIwR1BYVUxtRktBb2FQSjVldmFPSFVXSFFOMDRqeHFpN2dSRmlTNElLZXZPR3hYZl9FR0tnU2w1V2VZTEFUX3dPaWg3bVpDOF9PLUtHRHZzaFNrNk9GS3pSc2ozY1p3c2hncUJhenBmdm4yR2JiNzdEQzRfZ1RsSTV0dTNLaDM5MXExdU82UGR5d3c?oc=5
I Write Algorithms for a Living. God Doesn’t Want Me to Quit. - ChristianityToday.com,2023-07-25 07:00:00,ChristianityToday.com,I Write Algorithms for a Living. God Doesnt Want Me to Quit.nbspnbspChristianityToday.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxPUHlnX3JvX0ctc2x5WmdLRnpoaGF3VFU5cmdoc1NtcHQ4WnFESnNmRFdNaHRtS1NEWjRqTUpib1YzWlRENGd3VzVQUDNId1pMRUg3eFZUM0ZRYjhiTGFWOEY0ZVNlZDhfaHA1bWNVdnV6dE1LSmduYjRsTF9WR1lNRHVScmhQaFpEQXA3VA?oc=5
New Vaccine Technology Produces More Antibodies Against SARS-CoV-2 in Mice - Caltech,2023-07-25 07:00:00,Caltech,New Vaccine Technology Produces More Antibodies Against SARSCoV2 in MicenbspnbspCaltech,https://news.google.com/rss/articles/CBMirgFBVV95cUxQSXA5Z1dlNHdINXVDUkpCajdfdGhodE9VY3hIMTVyNnVKMzF5WkNzQkpYV0JtSTFoV0FVSm5NU2Q0X1N6eE1iV1ZTdjhRd2VJNW9YeWlVU1QzTVNvU0FWdHZKeVBicGFUME5NaklBN3ZTMW5kOEdmUDZvTnRIbW1YbDBVbjlNNGJray12dWFkZWxUVVhTTXI1dWdrczhXRUhmZ1Vlak1BZXdfNGw5Qmc?oc=5
AARP Research Insights on Technology - AARP,2023-07-28 07:00:00,AARP,AARP Research Insights on TechnologynbspnbspAARP,https://news.google.com/rss/articles/CBMiogFBVV95cUxPU2lzY1BPTFdkWUhua1ZMOENaNHprZ3dpM2lzNk81ZF95WnpveGxmZFhmRjB5Ukx5UWxZYlVza1poOC1rQUJhNHdLMzJQMXlGQVVtRUhUa1I1clNkZk0yaTJkZ2NlVjd1VVdZeGJDQ1J1dmVLSTFFUTRXS0RXc2QtU0JHdGZTeUpmY2JJMktYblozeDUzOFhsWXJHWWxJVEpoZ1E?oc=5
"Energy Subcommittee Hearing - Unearthing Innovation: The Future of Subsurface Science and Technology in the United States - House Committee on Science, Space and Technology",2023-07-26 07:00:00,"House Committee on Science, Space and Technology","Energy Subcommittee Hearing Unearthing Innovation The Future of Subsurface Science and Technology in the United StatesnbspnbspHouse Committee on Science, Space and Technology",https://news.google.com/rss/articles/CBMi5gFBVV95cUxNLWJYMkZGX2c2N3hqUXRuRzkta3dYRUlyTHI3ZEtBZTJOUFBfRjhwS2w3VUtLbzZCYnp4RGo1T05TZFZ3dUJTMG0zNjBaOVVFZEFvMUxsdVBrZjhpOWVpWmdqYVhwUDNPaVpFSHg2Njhla1FLTzMyaGJBSHJ3b3FxcjhxY3hkZTlBYzNSMGMweWt5UmQ5LVFQZlhIT1hldkF6TmlZSVo1WmpZOXlHM1dEMGRpc25Sdzk0dmVQZmNfLXR2cVJnSWlNaXBxZVhYSldWOHNrUzV1a0FPb2gxNkNjNGo1V1VSQQ?oc=5
Google And OpenAI Plan Technology To Track AI-Generated Content - Forbes,2023-07-22 07:00:00,Forbes,Google And OpenAI Plan Technology To Track AIGenerated ContentnbspnbspForbes,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNaGdqUGRxelhxYVlkOHFjd1VRRFZ4UGlremJYajlpMzhFbU1lN3VpdmFQN3hNN2pRM204RVZOM3FndXNqQ2lWTnN2ZFlPNDZPNTB3YnV3R2VmLUY3dEQtdzhBN3lkWm9GcHgtT2t0S0F0U0gwVURxQkJkSC1kVDUwMXJSYXV3bTRIdXlfekE1VzhvVVdibjhGSEUtRUpZWHRNaGx5LXlCaVhjRUdFb0JqYVB3dk1JbjV5WGlB?oc=5
"Chief Innovation & Emerging Technologies Officer Profile | Simone Babb - Orange County Government, Florida",2023-07-26 07:00:00,"Orange County Government, Florida","Chief Innovation Emerging Technologies Officer Profile Simone BabbnbspnbspOrange County Government, Florida",https://news.google.com/rss/articles/CBMiowFBVV95cUxOSDg0cG5ldXQ0YU81ZWF2S0NaUXd5WE9YZTh1MWptOTVmeDlUMHVJRkRpWkNKV3lqVXhUR29FbENtY05XZm5sd3ZFaGt5NEl4NThteGtlcTJwaHgtWlpTcHZINUxxS3UyY1pYQklSN2Fwb3NqSlh2NERKS2JkbVotMGFOa2thNGFuM0o3R1Y1Z3Noa2tXcjZ0ZHZfZmZKcW1hUmNj?oc=5
